content,score
"saya suka sekali menggunakan blu, kartunya yang keren, cs-nya yang fast respon, fitur blusaving bisa dengan nominal terkecil pula, dijamin lps dan ojk 👍. cuma saya tidak menemukan fitur dark mode dan intip saldo tanpa masuk kedalam menu aplikasi. semoga kedepannya blu menambahkan fitur tersebut. Terima kasih",5
"Aplikasi transfer paling super lemot di negaranya. Hampir selalu gagal klo transfer. Mau cepat mau lambat ada aja muter2 nya. Gak kebayang yg mau boker udah selesai nih aplikasi gak maju2 dari sejak peluncurannya, hahaha",1
"Mohon lah, animasi yang bikin berat aplikasi tuh mending diganti aja yang simple. Ini aplikasi lemot banget kurang sat set. Padahal buat transaksi itu sat set (smooth) itu sangat penting loh biar gak makan waktu.",2
"so far untuk pembukaan rekeningnya aman. cuma saran saya, blu bca ttp harus upgrade dari segi kecepatan layanan di aplikasi. fiturnya udeh oke nih, beda dr yg lain krn ada saku untuk nabungnya. udah menang lah istilahnya, tapi kalo layanannya lemot.. ya ttp kalah. saku gaakan jd nilai plus jangan iya-iya aja, ya. tolong perbaiki & denger review konsumen untk perbaikan ke depannya. kita butuh bukti nyata, bukan sekadar omongan. good luck blu bca.",4
aplikasinya sudah sangat baguss apalagi bisa buat pocket pocket untuk tabungan. bs di pisah pisah gitu uang tabungan nya. tapi disini fitur untuk top up shopee pay suka hilang. jadi tolong di beneri supaya fitur nya ada terus/permanen,5
Tidak ada fungsi QR untuk pembayaran yg di scan sperti yg lain. Jadi kl ke ind*maret mau bayar pake QR kita yg di scan jadi ga bsa. Tolong ditambahkan dong fiturnyaaa *edit : fungsi QR scan nya pun suliiitt! membuat kita ngantri ditempat belanja karena ga bisa scan.! tolong diperbaiki secepatnya!,2
"UI nya mantep, simpel ga ngeribetin. minusnya kadang lelet aja klo dibuka. tolong tambahin fitur Qris bayar dong, biar gampang klo belanja ke alfa",5
"halo blu, secara keseluruhan saya senang menggunakan blu, namun untuk loading yang sangat lama terkadang membuat saya merasa tidak nyaman dalam menggunakan aplikasi ini, harap segera diperbaiki dan ditingkatkan lagi terima kasih, salam hangat",4
"Tolong aplikasi nya di buat lebih smooth, lebih responsif, tidak berat untuk menggunakan aplikasinya Kasihan orang yg ingin menggunakan aplikasi blu, tapi device nya kurang memadai",4
"Sebenernya udah bagus banget, mana kita bisa pisah-pisah saving nya. Cuma keluhannya buat aku ada di verifikasi wajah buat login aja. Mungkin karena device yang aku pake kameranya kurang jadi susah banget login, sampe sekarang gabisa login lagi😔",5
saya sudah kirim email tapi tidak kjnjung dijawab. pas trasaksi juga gk dapat kode otp..... pljs ya.... perbaiki buknya. saya ini sudah lelah. untuk pembayaran pake kris juga ribet banget gak bisa ke ditek gambarnya... apalah. untung saya punya bank digital yang lain jadi bisa transaksi.,5
"Aplikasinya berat kadang"" ga loading terus juga suka ngebug, admin mohon di perbaiki ,jika apl nya sudah ringan dan tidak banyak bug maka rating akan sy kasih bintang 5",3
"Aplikasi lemot, Bukan nya memudahkan dalam bertransaksi, yg ada pas antre mau bayar malah dimarahin cust yg lain dibelakang karna lama buka aplikasi blu bca ini.. Tolong diperbaiki , krna sudah bnyak komplainan.",2
"Secara fitur menarik & berguna, tapi sayang cukup lambat. Khususnya mau bayar QRIS loading bacanya cukup lama. Sebaiknya dikurangi grafik2 image supaya tidak berat apps nya.",4
makin hari makin lemot. ga bisa digunakan buat hp usia under 2020. mau transfer aja gagal mulu bukan karen koneksi tapi icon icon pada fitur ga bisa diklik. bahkan beberapa kali ngelag,3
"top, tapi notif dari DANA tidak ada tolong tingkatkan lagi, dan kasih kode qris untuk di transfer agar tidak ribet kasih no rekening kalau dari dekat, dan aplikasi kurang smooth masih rada lemot, dan sering buffer padahal sinyal sudah bagus",4
"Sangat memudahkan,UI nya sangat menanrik dan nyaman serta fitur dan promonya lumayan,Serta sedikit masukin mungkin bisa mempercepat animasi loading saat mau membuka transaksi QRIS dan juga transaksi lainya karena animasi loading nya sangat lama",5
"Sebenernya aplikasinya bagus.. Tapi waktu mau login, transaksi masih delay yg lumayan lama nunggunya, jadi agak makan waktu. Semoga ada perbaikan yg sat set kayak aplikasi sebelah ya min",4
"Fitur yang tersedia sudah bagus. Mungkin untuk ukuran aplikasinya dapat diperkecil lagi, karena aplikasi blu ini cukup banyak menggunakan data memori hp sehingga agak lelet jika dioperasikan",4
"Butuh di perbaiki lagi, soalnya aplikadi ini lemot. Mungkin di bagian animasi blu yang berbentuk box di hilangkan saja, karna lumayam berat.",4
"tolong dong developer tentang jaringanya, masa saya mau buka aplikasi blu aja kudu memuat terus, pdahal dirumah pake wifi sm data udh dicoba dua jaringan masih juga memuat heran tolong dong developer kalo ada darurat gimana mau buka blu memuat terus hdeuh",3
ringanin apk nya dong masa banyak loading nya agak delay kadang buat buka nominal aja nunggu 5 detik setelah di pencet baru muncul untuk semua nya udah oke oke aja tapi untuk delay nya ini yang masalah ketika bayar make qris harus nunggu lama,4
Untuk buka aplikasi loadingnya lama beda jauh dengan sodaranya my bca apalagi bca mobile. Mau transaksi aja harus nunggu lama baru kebuka Tolong perbaiki lagi untuk loading aplikasi bikin simpel aja tanpa gambar yang penting bisa cepat terbuka seperti bca mobile.,3
"aplikasi blu sekarang sudah cukup bagus dan simple cuma saran saya untuk rekening blu bisnis tambahkan pembuatan qris merchant toko seperti BCA merchant ,karena menurut saya tidak ada fitur perbedaan antara blu bisnis & blu account regular. untuk blu account regular tambahkan qris generator untuk pembayaran di retail seperti indomaret / alfamart. masa kalah fitur dengan aplikasi ewallet dana / gopay.",4
"kalo ada bintang 10 saya kasih 10 deh. hari ini jam 00:47 saya Chet cs nya blu dan masih di jawab cepet keren banget, jarang ada cs bank yang layanannya 24/7 jam. makin ke sini makin banyak promo menarik pula, salah satu nya kartu debit Garuda mails jadi pas belanja bisa sambil kumpulin poin biar bisa dapat tiket pesawat kelas bisnis murah/geratis. terus juga bisa transfer geratis dan minimal transfer 5K, bisa investasi dan buka tabungan deposito juga👍👍👍👍👍👍",5
"Saya merasa aplikasinya berat, kurang cepat dan kalo bisa dibuat lebih user frendly lagi. loadingnya dikurangi, fiturnya di buat lebih mudah dan simpel",3
saya nasabah BCA sdh lama. dan sangat sering bertransaksi pakai BCA.Tapi kmrn waktu mengajukan pinjaman di blu. verifikasi nya sangat lama dan selalu di tolak dengan alasan tidak sesuai kriteria untuk meminjam di blu. dan sekarang mau saya hapus aplikasi blu. karena sangat tidak bermanfaat. trimakasih,2
"lama bgt verifnya, ditunggu antrian ratusan pas gilirannya blank item doang selama 15 menit ditunggu, gatau itu ada cs nya ga, kyk dipermainkan wkwk kalo belum gilirannya, lebih baik jujur saja kita yg nunggun ini di antrian ke berapa.",4
"aplikasinya bagus dan mudah..cuma agak lelet kalau buka aplikasi.padahal pakai hp ram 8 gb,semoga kedepannya di perkecil lagi aplikasinya sehinga cepat saat login",5
"sebenernya bagus tp login saya ga bisa2 .. bahkan masuk ke nomor ponsel saja belum mendapatkan kode otp sampai d alihkan ke wa. kalaupun berkaitan dg nomor hp, nomor masih aktif dan ada pulsanya.. 🙏🏻",3
"aplikasi ini bagus memudahkan saya untuk menabung dan transfer, tapi seringkali minta update padahal saya buru buru harus transfer tapi terkendala harus update terlebih dahulu jadi nunggu lama lagi",3
"Aplikasi sejak ditambah menu macam-macam sekarang jadi berat, gak user friendly lagi . Sinyal bagus hape saya Vivo V27 5G hape spek flagship ini tapi tetap aja gak bisa buka APK . Tolong update selanjutnya agar diperbaiki.",1
"bagus, mudah di pahami. cuma syg tarik tunai nya masih di kasih limit 1,2. minimal bisalah 2,5 dlm 1kali tarik.",4
"saat awal mulai pakai, sangat membantu sekali untuk penyimpanan alternatif selain di rekening BCA utama. karena untuk transfer dari Rekening BCA ke Blu tidak di kenakan biaya. tetapi setelah Blu memutuskan untuk menetapkan tarif normal pertransaksi, saya sangat kecewa sekali.",2
aga aneh skrg pemakaian reward cashback nya tidak bisa dilakukan . pdhl sdh tertera tenant yg ikut promo cashback tpi tdk bisa dilakukan . percuma dong download blubca lagi . sblmnya udh sya haps krna ada bbrp yg menaruk mnrt saya ya sya download lagi ini malah aneh,3
"mau verifikasi muka susah sekali, padahal akun sendiri, muka sendiripun susah, padahal tidak pakai masker, posisi dibawah lampu terang benderang, hp tidak goyang, orangnya juga tidak goyang, masih belum bisa dibilang gelap, memang hp saya jadul, jadi kamera depan standar tidak bagus bersih, masa harus beli hp baru untuk masuk nya, GILAAA semua syarat sudah di ikutin, cuma masalahnya kamera depan krn hp android lama jadi jelek",1
"harus di update tapi kenapa malah ngga bisa di lanjutkan, aplikasinya terlalu lamaa. sudah nunggu dikasir jadi kena omell. mohon untuk di perbaiki lagi",3
"Saya sdh ditahap verifikasi vidio dan diminta utk mengantri yang cukup lama, ketika antrian sdh habis dan giliran saya video call malah tidak tersambung, menunggu lama tetap tidak tersambung. Ketika diputus sambungan utk menghubungkan ulang diminta ikut antrian baru lagi....",1
"Aplikasinya bagus dan mudah di gunakan. Tapi kok lelet ya setiap kali mau masuk atau transaksi :( Terutama kalau lagi belanja dan mau pakai QRIS nya, mau masuk ke QRIS nya lamaa bukan main.",3
"oke oke aja selama aku pakai, memudahkan. koreksinya cuma aplikasinya sedikit lelet atau berat banget, aku pakai di samsung A72 kadang aplikasinya ngebug, bisa kali di ringanin lagi biar gak berat",4
"App Blu sebenernya udah bagus, tapi ga tau kenapa sekarang ga bisa top up E-Money Shopee Pay, padahal dulu udah enak, top up E-Money di Blu pilihannya banyak, bisa ovo, gopay, linkaja, dana, terus dapet update shopee pay masuk jadi makin variatif. Ga tau kenapa sekarang hilang",4
"aplikasi bagus, kl bayar² kdg ada delay tp 1-3 detik aja, jd ttp ga masalah. kegunaan utama dr rekening sendiri spt rekening biasa d bca mobile.",5
"Aplikasi yang bagus. Mudah digunakan. Menu lengkap, tapi aplikasi jalannya berat, loading lama. Saran saya mohon aplikasi tidak terlalu banyak animasi, biar jalannya lebih ringan & cepat.",5
"Apk masih terasa berat walaupun hp sdh ram tinggi sinyal bagus, jadinya kelamaan kalo pas membutuhkan transaksi cepat, fitur sdh lengkap, masukan untuk admin agar diperbaiki lagi saat loading nya jgn kelamaan ingin spt MY BCA apk nya sat set.. dan tambahkan pula BARCODE untuk pembayaran QRIS Terimakasih 🙏🙏🙏",5
"Lucu sih buat syarat menuhin bludebit card pertama, pertama liat syarat cukup minimal saldo 500k/transaksi minimal 2x dalam sebulan terakhir. Pas udah dipenuhi tiba-tiba ada syarat lain minimal kayak loyalty Lever BluGrande dan itu minimal punya saldo 10jt. Kalo punya saldo segitu aku mending nyimpen di bank sih, ga rekomen, mending seabank, tiap hari bunga cair.",1
"Mo donlod ga jadi karena ribet harus aktipkan screenlock,dah berkali2 coba ga bisa,padahal dulu pernah punya, bikin aplikasi ga Usah ribet dong cukup pin aja.",1
"Tidak dapat selfie berulang kali, selalu dapat kalimat hp bergoyang. Sampe pake tripod pun masih dibilang bergoyang., sepertinya cuma pengen ambil data kita doang. Akhh siall, ini pertama kalinya saya kasih ulasan sepanjang saya hidup. Taiiiii buang"" waktu dan data saja.",1
"Sebenarnya mau kasih bintang 4 tapi biar cepet ditanggapi kasih 1 aja deh, keluhan saya app berat, ga bisa bayar pake Qris, ga bisa bayar Indihome Edit : ternyata bisa bayar pake QRIS tapi icon nya kecil jadi ga keliatan harusnya ditengah2 dan diperbesar seperti app2 perbankan lain, kalo untuk bayar Indihome masih tetep belum bisa.",4
"Saya sebagai user blu cukup nyaman, walo kendala nya agak lambat load aplikasinya, gratis tarik tunai nya yg buat saya pakai blu, moga keamanan nya lebih baik lagi, dan bisa dipercaya banyak org krn safety nya",5
"Saya paling suka bank bca, tapi engga dengan app 1 ini lemot nya minta ampun. Kalah sama jaringan hp Nokia jadul kecepatanya. Harap di perbaiki. Jangan sampai kesempurnaan BCA berkurang hanya 1 app. Terimakasih. Semoga terbangun dari tidurnya.",1
"Daftar rekening via videocall dipersulit dengan alasan Nama KTP dan KK kurang 1 huruf yang di double! Nama untuk diucap kan sama, bedanya hanya ""MM"" di KK dan di KTP hanya 1 ""M"" aja, begitu saja di persulit minta ampun!, kan nomer NIK keduanya sama. padahal daftar di Bank yang lain ada teloransi kalau hanya tambah 1 huruf yang di double! ternyata BCA terlalu KAKU!!!",1
"Menurut saya sudah bagus, mulai dari user interface nya yang modern, hingga tampilannya yang simple dan tidak membuat bingung, apalagi nggak ada admin bulanan yang menjadi nilai plusnya. Semoga kedepannya ada fitur pembayaran melalui NFC / Nirsentuh seperti kompetitor.",5
"tolong ya... saya kan udah registrasi berhasil, tapi saya kan video call sama tim blu, tapi masalahnya kenapa perkara tentang nama ibu kandung, sudah jelas-jelas ya itu bener... tapi kenapa minta dibaca baik-baik dan kenapa? jadi tolong ya jangan dipersulitkan saya dong.. jadi tolong kedepannya tuh yang baik lagi",4
"sejauh ini baik² aja gak ada kendala apapun, tapi kenapa ya? setelah di update kalo mau transaksi sambung terputus terus padahal sinyal lancar mohon diperbaiki kak",4
"sering banget optimalisasi layanan, di saat aplikasi mau di gunakan, bentar bentar update, mending update klu gx lemot, malah makin lemot, tarik tunai di ATM BCA kena biaya, transfer sama BCA juga kadang kena biaya, mending MyBCA, sama m-BCA,",1
"Makin kesini makin ngelag (berat aplikasinya), padahal pakai blu dari 2021 kendala dari awal sampe sekarang pas buka aplikasi terasa berat banget, padahal buka aplikasi gede lainnya lancar :(",2
"Tampilan home kurang simple, harusnya Qris, transfer hanya 1 klik, Saldo di portofolio perlu di tampilkan di home atau minimal perpindahan tab lebih simple.",3
"Sangat lambat ... dan sering error transfer ... status sudah berhasil, saldo sudah terpotong tapi tidak masuk ke rekening penerima . sangat mengganggu sekali & merugikan sekali .",1
"Kalo gak mau ngasi pinjaman jangan nawarin pinjaman dong.. Nyoba 3x ngajuin pinjaman minimum ditolak, udah mana lemot banget lagi nih aplikasi. Tolong dihapus aja itu menu pinjaman atau saya hapus aplikasi blu ini.",1
"Halo mohon bisa ditingkatkan kembali performa aplikasi androidnya. Karna sy sering mau bayar dikasir sangat lemot. Dan tiba2 buffering lama. Lalu untuk scan juga kurang responsif, kadang harus di pas pasin banget baru bisa ke scan. Padahal saya sangat suka fitur aplikasinya, karna banyak pocket dan sangat kekinian, transfer juga mudah tidak ribet save dulu spt bca, lalu top up free admin kadang cashback.",3
"Bener"" lelet aplikasi nya, bukan jadi satset malah ribet kebanyakan loading, hadeh ribet dah intinya. Mau secanggih dan secepat apapun jaringannya tetep aja lelet dan lambat jadinya",3
"Ribet banget mau login aja harus ada kunci layar hp dulu, myBCA nggk begitu kok. Saya yang hp nya nggk biasa di sandi jadi merasa terganggu, selalu atur sandi mulu. Tolong dong hilangkan fitur itu, ganggu menurut saya.",3
"Kurang suka ama fitue ni apk masa ada bacaan terjadi masalah silahkan coba lgi , kirain saya karena sinyal atau dll tolong dong di perbaiki lgi ni bca blu, kira"" nyari jalan kluar nya biar ga ada bacaan bgtu di fitur pinjaman nya gimana ya",1
"aplikasi nya bagus,tapi tolong di benar kan lagi, karna saya ingin masuk ke dalam aplikasi nya tidak bisa karna masalah jaringan, padahal jaringan saya bagus bagus saja tidak bermasalah,jadi Saya minta tolong untuk di benar kan lagi aplikasi nya",5
"Aplikasinya terlalu berat untuk fitur sesimple ini, loadingnya selalu lama saat login maupun saat transfer, tolong diperingan lagi aplikasinya, saya tunggu update dengan fast loadingnya",4
Parah:) masa bca Mobile ke blue ada biaya admin nya. Padahal satu naungan yg sama. Sering pake keduanya soalnya buat tabungan tapi malah kena admin padahal BCA juga tadinya mau bintang 1 tapi karna jujur aplikasi nya bagus aku kasih 2 deh.,2
"Tolong munculkan kode bayar,karena beberapa merchant sekarang meminta akses tersebut dan mungkin aplikasinya bisa di buat agak ringan lg ya. terlalu berat dengan iklan iklan.",4
Saya sudah mau verifikasi tinggal vc. Nunggu antrian dari 150. giliran sudah waktunya gabisa. Malah di putusin terus panggilan. Saya coba berulang kali dari pagi sampai malam. Masih saja kaya gitu. Padahal nunggu antrian juga ga sebentar.,1
Untuk kedepannya semoga Blu semakin lengkap fitur-fitur nya agar dapat memudahkan para pengguna dalam melakukan segala hal. Tapi untuk sekarang juga sudah sangat bagus👍 Terima kasih Blu,5
"saya udh buat akun nya, setelah sebulan pemakaian, kok buat buka aplikasi nya aja harus pake VPN sih?, saya nyalain VPN dulu baru jalan aplikasi nya, giliran gk pake VPN malah stuck loading",2
"Aplikasinya cukup membantu, tapi sama seperti beberapa review lain yaitu untuk login dan transaksi lambat sekali. Tolong diperbaiki lagi agar lebih responsif dan cepat",3
"udah bagus, tapi sayang sekali aplikasinya sangat lamban saat dibuka, padahal saya sudah sengaja pakai fitur shortcut terutama pada fitur Qris, eh tetep lamban😭 please di develop lagi ya biar gak lemot🙏🏼",4
"Aku mau daftar kenapa pas nge foto KTP padahal posisinya sudah sesuai tapi ada tulisan "" pastikan hasil foto tidak terpotong "" aku udah coba banyak kaliii loh masih aja gitu. Sebenere boleh ndk si daftar?",2
Mohon di perbaiki kalau kalau transfer dan cek nomor rekening kenapa tidak ada atas namanya jadi mau transfer nggak jadi takut keliru nggak ada atas namanya,1
"Suka dengan blu by BCA Digital, selain nasabah tidak dikenakan biaya bulanan juga ada fitur menabung setiap hari yaitu BluSaving dan blu deposito dan setiap bulan bunga nya dibayar gak kecewa lah pokok nya..",5
"Blu BCA itu bank ternama, namun sangat disayangkan Penggunanya masih sedikit Dikarenanak aplikasinya sangat berat, harus ram 4gb keatas, ram 3gb kebawah lambatnya minta ampun",2
"Sangat membantu untuk menabung,bebas admin,dan bisa tarik tunai tanpa card dan bisa di tarik semua lagi huuuuu puas deh dengan bank digital satu ini,rekomendeddddddd sihhh⭐⭐⭐⭐⭐",5
"sewaktu Videocall untuk verifikasi buat akun baru, cs nya ga ramah sama sekali 😭 agak kaget untuk ukuran BCA, kok saya dapet service sebegitunya. but okay, karena aplikasinya juara sih 👍🏻",4
blu bca mempermudah segala transaksi online. dan banyak promo menarik nya. hanya saja saat mangajukan pinjaman ke blu bca di tolak. sangat di sayangkan. kepada blu bca mohon bantuan nya saat pinjaman. saya butuh modal buat usaha saya terimkasih 🙏,5
"saya nasabah baru dan sudah mendaftar sampai tahap akhir Vidio call, setelah saya menunggu antrian selama kurang lebih 5 menit saya tersambung dengan customer service. namun saya di suruh untuk mengakhiri panggilan dan akan di hubungi tanpa mengantri karena alasan teknis. namun saya tak kunjung di hubungi lagi, dan saya kembali malah ke tahap awal pendaftaran. kecewa untuk pelayanan pendaftaran.",1
"saya suka pakai blu, tapi lemot nya ini sudah keterlaluan. setiap buka aplikasi harus muter2 dulu. bisa kali keliling ka'bah baru kelar tuh lemot",1
"Aplikasi sudah versi terbaru tetapi lambat banget fitur"" nya semua halaman aplikasi lambat iika dibandingkan dengan bank digital lain dengan ukuran yang tidak jauh berbeda dan menggunakan koneksi internet cukup lancar dan stabil. Karena aplikasi lain tidak ada masalah terutama untuk bank digital tetapi hanya aplikasi blu by BCA Digital yang lambat. Terus ada fitu qris itu sangat menyebalkan karena lambat dari muali proses buka aplikasi maupun saat sqan kode qr nya SANGAT LAMBAT",2
"Fiturnya keren si gw akuin, tp sangat disayangkan UI nya sangat lemot, saran gw si lebih utamakan ke fungsionalnya daripada mempercantik tampilannya sehingga transaksi dapat dilakukan dengan cepat tanpa menunggu proses loading yang sangat lama. Pernah waktu itu gw transfer. Notifikasi sudah muncul tapi loading/munculin bukti transfer berhasilnya luama banget. Semoga saran saya dapat membantu 🔥🔥🔥",3
"Aplikasi Blu ini bagus, ga ada admin bulanan, dapat kartu atm juga, tapi Ni app blu ngerekam interaksi aplikasi, log error. Itu lah kenapa saya rasa, app ini kalo di klik rada2 agak delay, Belum lagi highlight nya ga bisa dijadikan opsional, Dan dikit2 loading, buka qris sampai ke kamera nunggu nya lumayan juga Tolong segera diperbaiki yaa",5
"Yang bikin kesel menggunakan BLU, aplikasinya begitu lemot, sehingga melakukan transaksi tidak nyaman. Dan paling bikin kesel itu ketika verifikasi muka, sistemnya tidak dapat membaca dan lama sekali. Lebih baik ringan tapi simple, daripada seperti ini yang hanya kesel menggunakan Blu",1
Untuk sementara saya kasih bintaang 2 karena engga cocok buat hape kentang level entry. Coba untuk berulangkali scan wajah susah banget Semoga lekas membuat yg ramah dengan hp jenis entry level. Karena akan lebih banyak yg membuat tabungan di blu,2
"Aplikasi blu menawarkan desain UI/UX yang modern, simpel, dan ramah pengguna. Namun, performanya kurang optimal di perangkat Poco M4 Pro dengan prosesor MediaTek Helio G96. Pengguna mengalami ketidakresponsifan, seperti lag atau aplikasi berjalan lambat, yang mungkin disebabkan oleh bug atau kurangnya optimasi. Hal ini membuat prosesor tidak bekerja maksimal dan berdampak pada pengalaman pengguna. Pengembang perlu segera memperbaiki masalah ini agar aplikasi blu dpt berjalan lancar sluruh prgkt.",5
"Lumayan bagus, MINUSNYA CUMA GAK BISA MENERIMA SALDO PAYPAL KE BLU. padahal mirip seperti Jago atau Jenius. semoga cepat ditingkatkan lagi bisa menerima saldo dari Paypal",4
"Udah improve agak lebih cepet tapi bukan yg cepet banget. Oiya 1 bug annoying kalo kita di halaman sukses bayar, terus kita ganti app, sampe session di app blu habis, balik lagi ke blu, Ga bisa diapa-apain. Ngga mental ke halaman login, ga bisa klik kembali ke beranda",4
"Secara ide, aplikasi ini bagus. Tapi bisakah platform yang digunakan diganti pakai Flutter aja biar aplikasinya berjalan lebih ringan dan cepat? Yang sekarang ini berasa pakai webview... Kan malu sama iklan 😄 Usahakan server yang digunakan jangan terlalu terbatas storagenya untuk supporting teknis.",1
"Aplikasi lemot,tidak dapat login, udah menunggu berminggu minggu masih belom dapet info, sudah kekantor pun tetap di persulit, semua org menggunakan aplikasi digital agar melakukan semua transaksi dgn mudah,pakai aplikasi blu, malah sering keluar masuk dan login pun gk bisa bisa, tolong di perbaiki segera, keluhan pengguna sudah banyak,tolong di dengarkan",1
"Tolong lebih diperhatikan lagi aplikasinya, masa udah hampir nyamain aplikasi shoope berat dan lemotnya... *Update 26 Oktober 2024 Aplikasi setiap dibuka selalu lagging kadang normal, tolong untuk ekosistem.nya d tingkatkan lagi... Setiap mau transaksi selalu lama gegara perpindahan menu d aplikasinya aj kadang cepet kadang ngelag",3
"Aplikasi blu mobile lambat lemot ketika di gunakan untuk semua transaksi, tolong diperbaiki dan dipercepat lagi serta di update sistemnya aplikasi blu by bca digital agar mudah digunakan dan nyaman terima kasih",3
"Untuk masukan aja buat tim blu, kalo bisa banner promo di dpn app dan tombol login dihapus deh. Makan waktu lama buat transaksi, harus 2 kali pencet, gk seemless. Buka menu qris juga langsung minta pin/sidik dlu baru terbuka qris nya, harusnya dibalik lebih oke menurutku sbg user. Mending langsung aja buka app langsung minta autentikasi sidik jari/pin, nanti banner dikasih di halaman utamanya dengan menu2 lain termasuk qris dkk Kalo ada update nanti ku revisi bintangnya",1
"appnya berat, untuk login buat minta kode tarik tunai itu lama dan berat,lebih sering force close dari app awal rilis sampe sekarang masih sama.tolong di update lebih ringan dan support hp low end/entry level juga. saran untuk tarik atau setor tunai menggunakan kartu debit baiknya di gratiskan",4
"Setelah pake 2 tahun, fitur udah lumayan lengkap. Tapi aplikasi msh kurang responsif. Dr buka app loading ads lama, scan biometrik ke homepage juga loadingnya lama. Buka notif loading agak lambat sama sering lag.",3
"bca ok lah, sebagai bank digital ada kuota gratis transfer biar gak kalah dgn yg lain, gak hrs banyak tapi ada, soal keamanan gak usah di ragukan lagi, the best lah",5
bagus banget apk nya. dulu sering lemot mungkin karena RAM hp ku kepenuhan tp sekarang Alhamdulillah lancarrr APK nya Semoga rejeki nya juga hehe Amiinnn. trus enak nya di APK ini tuh bisa di pisah pisah uang nya,4
"jelekk banget , hp sy ke reset karena musibah, mau masuk ulang buat ambil uang saja ribett, dibilang wajah tak sesuai lahh, akun terblokir lahhh, maksudnya apaan coba, duit gue disitu mana masih banyak, ini gue mati kelaparan woi lahh ga bisa beli makan sialannn.",1
"setelah di update pembayaran shopee malah di hilangkan, padahal saya sering cek out via blue. Tolong kembalikan seperti sebelumnya",3
error terus lama gak bisa kebuka aplikasinya..gmn tuh. sampe cape nunggunya padahal dah update juga.,2
hampir tiap minggu aplikasi error mulu dah padahal tiap kali ada update selalu di update mau transaksi jadi keganggu,3
apk blu saya kok loading terus ya. sudah di upgrade tapi masih ga bisa . mentok dibtampilan awal,4
"awal awal pakai Blu msh eror, Alhamdullilah sekarang jadi favorit utk nyimpen simpanan, terus di tingkatkan ya.. biar bisa pakai blu seterusnya utk transaksi",5
