score,stemmed,text_akhir,polarity_score,polarity,sentiment
5,"['suka', 'blu', 'kartu', 'keren', 'csnya', 'fast', 'respon', 'fitur', 'blusaving', 'nominal', 'kecil', 'jamin', 'lps', 'ojk', 'temu', 'fitur', 'dark', 'mode', 'intip', 'saldo', 'masuk', 'dalam', 'menu', 'aplikasi', 'moga', 'depan', 'blu', 'fitur', 'terima', 'kasih']",suka blu kartu keren csnya fast respon fitur blusaving nominal kecil jamin lps ojk temu fitur dark mode intip saldo masuk dalam menu aplikasi moga depan blu fitur terima kasih,0,neutral,0
1,"['aplikasi', 'transfer', 'super', 'lelet', 'negara', 'gagal', 'transfer', 'cepat', 'lambat', 'muter', 'bayang', 'buang', 'air', 'selesai', 'aplikasi', 'maju', 'luncur', 'hahaha']",aplikasi transfer super lelet negara gagal transfer cepat lambat muter bayang buang air selesai aplikasi maju luncur hahaha,-14,negative,-1
2,"['mohon', 'animasi', 'bikin', 'berat', 'aplikasi', 'tuh', 'ganti', 'simple', 'aplikasi', 'lelet', 'banget', 'sat', 'set', 'transaksi', 'sat', 'set', 'smooth', 'biar', 'makan']",mohon animasi bikin berat aplikasi tuh ganti simple aplikasi lelet banget sat set transaksi sat set smooth biar makan,-2,negative,-1
4,"['far', 'buka', 'rekening', 'aman', 'saran', 'blu', 'bca', 'ttp', 'upgrade', 'segi', 'cepat', 'layan', 'aplikasi', 'fiturnya', 'udeh', 'oke', 'beda', 'dr', 'saku', 'nabungnya', 'menang', 'istilah', 'layan', 'lelet', 'ttp', 'kalah', 'saku', 'gaakan', 'nilai', 'plus', 'iyaiya', 'tolong', 'baik', 'denger', 'review', 'konsumen', 'untk', 'baik', 'depan', 'butuh', 'bukti', 'nyata', 'omong', 'good', 'luck', 'blu', 'bca']",far buka rekening aman saran blu bca ttp upgrade segi cepat layan aplikasi fiturnya udeh oke beda dr saku nabungnya menang istilah layan lelet ttp kalah saku gaakan nilai plus iyaiya tolong baik denger review konsumen untk baik depan butuh bukti nyata omong good luck blu bca,-11,negative,-1
5,"['aplikasi', 'baguss', 'pocket', 'pocket', 'tabung', 'pisah', 'pisah', 'gitu', 'uang', 'tabung', 'fitur', 'top', 'shopee', 'pay', 'suka', 'hilang', 'tolong', 'beneri', 'fitur', 'teruspermanen']",aplikasi baguss pocket pocket tabung pisah pisah gitu uang tabung fitur top shopee pay suka hilang tolong beneri fitur teruspermanen,3,positive,1
2,"['fungsi', 'qr', 'bayar', 'scan', 'sperti', 'indmaret', 'bayar', 'pakai', 'qr', 'scan', 'tolong', 'fiturnyaaa', 'edit', 'fungsi', 'qr', 'scan', 'suliiitt', 'antri', 'tempat', 'belanja', 'scan', 'tolong', 'baik', 'cepat']",fungsi qr bayar scan sperti indmaret bayar pakai qr scan tolong fiturnyaaa edit fungsi qr scan suliiitt antri tempat belanja scan tolong baik cepat,-4,negative,-1
5,"['ui', 'mantap', 'simpel', 'ngeribetin', 'minus', 'kadang', 'lambat', 'buka', 'tolong', 'tambahin', 'fitur', 'qris', 'bayar', 'biar', 'gampang', 'belanja', 'alfa']",ui mantap simpel ngeribetin minus kadang lambat buka tolong tambahin fitur qris bayar biar gampang belanja alfa,6,positive,1
4,"['halo', 'blu', 'senang', 'blu', 'loading', 'terkadang', 'nyaman', 'aplikasi', 'harap', 'baik', 'tingkat', 'terima', 'kasih', 'salam', 'hangat']",halo blu senang blu loading terkadang nyaman aplikasi harap baik tingkat terima kasih salam hangat,12,positive,1
4,"['tolong', 'aplikasi', 'smooth', 'responsif', 'berat', 'aplikasi', 'kasihan', 'orang', 'aplikasi', 'blu', 'device', 'pada']",tolong aplikasi smooth responsif berat aplikasi kasihan orang aplikasi blu device pada,-13,negative,-1
5,"['sebenernya', 'bagus', 'banget', 'pisahpisah', 'saving', 'keluh', 'verifikasi', 'wajah', 'login', 'device', 'pakai', 'kamera', 'susah', 'banget', 'login', 'gabisa', 'login']",sebenernya bagus banget pisahpisah saving keluh verifikasi wajah login device pakai kamera susah banget login gabisa login,-3,negative,-1
5,"['kirim', 'email', 'kjnjung', 'pas', 'trasaksi', 'kode', 'otp', 'pljs', 'baik', 'buk', 'lelah', 'bayar', 'pakai', 'kris', 'ribet', 'banget', 'ditek', 'gambar', 'apa', 'untung', 'bank', 'digital', 'transaksi']",kirim email kjnjung pas trasaksi kode otp pljs baik buk lelah bayar pakai kris ribet banget ditek gambar apa untung bank digital transaksi,2,positive,1
3,"['aplikasi', 'berat', 'kadang', 'loading', 'suka', 'ngebug', 'admin', 'mohon', 'baik', 'apl', 'ringan', 'bug', 'rating', 'kasih', 'bintang']",aplikasi berat kadang loading suka ngebug admin mohon baik apl ringan bug rating kasih bintang,5,positive,1
2,"['aplikasi', 'lelet', 'mudah', 'transaksi', 'pas', 'antre', 'bayar', 'dimarahin', 'cust', 'belakang', 'buka', 'aplikasi', 'blu', 'bca', 'tolong', 'baik', 'krna', 'bnyak', 'komplain']",aplikasi lelet mudah transaksi pas antre bayar dimarahin cust belakang buka aplikasi blu bca tolong baik krna bnyak komplain,-2,negative,-1
4,"['fitur', 'tarik', 'guna', 'sayang', 'lambat', 'bayar', 'qris', 'loading', 'baca', 'rang', 'grafik', 'image', 'berat', 'apps']",fitur tarik guna sayang lambat bayar qris loading baca rang grafik image berat apps,-1,negative,-1
3,"['lelet', 'hp', 'usia', 'transfer', 'gagal', 'melulu', 'karen', 'koneksi', 'icon', 'icon', 'fitur', 'klik', 'kali', 'ngelag']",lelet hp usia transfer gagal melulu karen koneksi icon icon fitur klik kali ngelag,-9,negative,-1
4,"['top', 'notif', 'dana', 'tolong', 'tingkat', 'kasih', 'kode', 'qris', 'transfer', 'ribet', 'kasih', 'rekening', 'aplikasi', 'smooth', 'rada', 'lelet', 'buffer', 'sinyal', 'bagus']",top notif dana tolong tingkat kasih kode qris transfer ribet kasih rekening aplikasi smooth rada lelet buffer sinyal bagus,0,neutral,0
5,"['memudahkanui', 'menanrik', 'nyaman', 'fitur', 'promonya', 'lumayanserta', 'masuk', 'cepat', 'animasi', 'loading', 'buka', 'transaksi', 'qris', 'transaksi', 'lai', 'animasi', 'loading']",memudahkanui menanrik nyaman fitur promonya lumayanserta masuk cepat animasi loading buka transaksi qris transaksi lai animasi loading,9,positive,1
4,"['sebenernya', 'aplikasi', 'bagus', 'login', 'transaksi', 'delay', 'lumayan', 'nunggunya', 'makan', 'moga', 'baik', 'sat', 'set', 'aplikasi', 'belah', 'min']",sebenernya aplikasi bagus login transaksi delay lumayan nunggunya makan moga baik sat set aplikasi belah min,-12,negative,-1
4,"['fitur', 'sedia', 'bagus', 'ukur', 'aplikasi', 'kecil', 'aplikasi', 'blu', 'data', 'memori', 'hp', 'lambat', 'operasi']",fitur sedia bagus ukur aplikasi kecil aplikasi blu data memori hp lambat operasi,-9,negative,-1
4,"['butuh', 'baik', 'aplikadi', 'lelet', 'animasi', 'blu', 'bentuk', 'box', 'hilang', 'lumayam', 'berat']",butuh baik aplikadi lelet animasi blu bentuk box hilang lumayam berat,0,neutral,0
3,"['tolong', 'developer', 'jaringanya', 'buka', 'aplikasi', 'blu', 'muat', 'pdahal', 'rumah', 'pakai', 'wifi', 'sm', 'data', 'udh', 'coba', 'jaring', 'muat', 'heran', 'tolong', 'developer', 'darurat', 'buka', 'blu', 'muat', 'hdeuh']",tolong developer jaringanya buka aplikasi blu muat pdahal rumah pakai wifi sm data udh coba jaring muat heran tolong developer darurat buka blu muat hdeuh,0,neutral,0
4,"['ringanin', 'apk', 'loading', 'delay', 'kadang', 'buka', 'nominal', 'tunggu', 'detik', 'pencet', 'muncul', 'oke', 'oke', 'delay', 'bayar', 'make', 'qris', 'tunggu']",ringanin apk loading delay kadang buka nominal tunggu detik pencet muncul oke oke delay bayar make qris tunggu,-7,negative,-1
3,"['buka', 'aplikasi', 'loadingnya', 'beda', 'sodaranya', 'bca', 'bca', 'mobile', 'transaksi', 'tunggu', 'buka', 'tolong', 'baik', 'loading', 'aplikasi', 'bikin', 'simpel', 'gambar', 'cepat', 'buka', 'bca', 'mobile']",buka aplikasi loadingnya beda sodaranya bca bca mobile transaksi tunggu buka tolong baik loading aplikasi bikin simpel gambar cepat buka bca mobile,-2,negative,-1
4,"['aplikasi', 'blu', 'bagus', 'simple', 'saran', 'rekening', 'blu', 'bisnis', 'tambah', 'buat', 'qris', 'merchant', 'toko', 'bca', 'merchant', 'fitur', 'beda', 'blu', 'bisnis', 'blu', 'account', 'regular', 'blu', 'account', 'regular', 'tambah', 'qris', 'generator', 'bayar', 'retail', 'indomaret', 'alfamart', 'kalah', 'fitur', 'aplikasi', 'ewallet', 'dana', 'gopay']",aplikasi blu bagus simple saran rekening blu bisnis tambah buat qris merchant toko bca merchant fitur beda blu bisnis blu account regular blu account regular tambah qris generator bayar retail indomaret alfamart kalah fitur aplikasi ewallet dana gopay,1,positive,1
5,"['bintang', 'kasih', 'deh', 'jam', 'chet', 'cs', 'blu', 'cepat', 'keren', 'banget', 'jarang', 'cs', 'bank', 'layan', 'jam', 'promo', 'tarik', 'salah', 'kartu', 'debit', 'garuda', 'mails', 'pas', 'belanja', 'kumpulin', 'poin', 'biar', 'tiket', 'pesawat', 'kelas', 'bisnis', 'murahgeratis', 'transfer', 'gerat', 'minimal', 'transfer', 'investasi', 'buka', 'tabung', 'deposito']",bintang kasih deh jam chet cs blu cepat keren banget jarang cs bank layan jam promo tarik salah kartu debit garuda mails pas belanja kumpulin poin biar tiket pesawat kelas bisnis murahgeratis transfer gerat minimal transfer investasi buka tabung deposito,5,positive,1
3,"['aplikasi', 'berat', 'cepat', 'user', 'frendly', 'loadingnya', 'rang', 'fiturnya', 'mudah', 'simpel']",aplikasi berat cepat user frendly loadingnya rang fiturnya mudah simpel,-1,negative,-1
2,"['nasabah', 'bca', 'transaksi', 'pakai', 'bcatapi', 'kemarin', 'aju', 'pinjam', 'blu', 'verifikasi', 'tolak', 'alas', 'sesuai', 'kriteria', 'pinjam', 'blu', 'hapus', 'aplikasi', 'blu', 'manfaat', 'trimakasih']",nasabah bca transaksi pakai bcatapi kemarin aju pinjam blu verifikasi tolak alas sesuai kriteria pinjam blu hapus aplikasi blu manfaat trimakasih,6,positive,1
4,"['banget', 'verifnya', 'tunggu', 'antri', 'ratus', 'pas', 'gilir', 'blank', 'hitam', 'doang', 'menit', 'tunggu', 'gatau', 'cs', 'main', 'wkwk', 'gilir', 'jujur', 'nunggun', 'antri']",banget verifnya tunggu antri ratus pas gilir blank hitam doang menit tunggu gatau cs main wkwk gilir jujur nunggun antri,0,neutral,0
5,"['aplikasi', 'bagus', 'mudahcuma', 'lambat', 'buka', 'aplikasipadahal', 'pakai', 'hp', 'ram', 'gbsemoga', 'depan', 'kecil', 'aplikasi', 'sehinga', 'cepat', 'login']",aplikasi bagus mudahcuma lambat buka aplikasipadahal pakai hp ram gbsemoga depan kecil aplikasi sehinga cepat login,-12,negative,-1
3,"['sebenernya', 'bagus', 'login', 'masuk', 'nomor', 'ponsel', 'kode', 'otp', 'alih', 'wa', 'kait', 'dg', 'nomor', 'hp', 'nomor', 'aktif', 'pulsa']",sebenernya bagus login masuk nomor ponsel kode otp alih wa kait dg nomor hp nomor aktif pulsa,-11,negative,-1
3,"['aplikasi', 'bagus', 'mudah', 'tabung', 'transfer', 'seringkali', 'update', 'buru', 'buru', 'transfer', 'kendala', 'update', 'tunggu']",aplikasi bagus mudah tabung transfer seringkali update buru buru transfer kendala update tunggu,-5,negative,-1
1,"['aplikasi', 'tambah', 'menu', 'macammacam', 'berat', 'user', 'friendly', 'sinyal', 'bagus', 'hape', 'vivo', 'v', 'hape', 'spek', 'flagship', 'buka', 'apk', 'tolong', 'update', 'baik']",aplikasi tambah menu macammacam berat user friendly sinyal bagus hape vivo v hape spek flagship buka apk tolong update baik,0,neutral,0
4,"['bagus', 'mudah', 'paham', 'sayang', 'tarik', 'tunai', 'kasih', 'limit', 'minimal', 'bisa', 'dlm', 'kali', 'tarik']",bagus mudah paham sayang tarik tunai kasih limit minimal bisa dlm kali tarik,6,positive,1
2,"['pakai', 'bantu', 'simpan', 'alternatif', 'rekening', 'bca', 'utama', 'transfer', 'rekening', 'bca', 'blu', 'kena', 'biaya', 'blu', 'putus', 'tetap', 'tarif', 'normal', 'transaksi', 'kecewa']",pakai bantu simpan alternatif rekening bca utama transfer rekening bca blu kena biaya blu putus tetap tarif normal transaksi kecewa,-1,negative,-1
3,"['aga', 'aneh', 'pakai', 'reward', 'cashback', 'pdhl', 'tera', 'tenant', 'promo', 'cashback', 'download', 'blubca', 'sblmnya', 'udh', 'haps', 'krna', 'bbrp', 'taruk', 'mnrt', 'download', 'aneh']",aga aneh pakai reward cashback pdhl tera tenant promo cashback download blubca sblmnya udh haps krna bbrp taruk mnrt download aneh,3,positive,1
1,"['verifikasi', 'muka', 'susah', 'akun', 'muka', 'sendiri', 'susah', 'pakai', 'masker', 'posisi', 'bawah', 'lampu', 'terang', 'benderang', 'hp', 'goyang', 'orang', 'goyang', 'bilang', 'gelap', 'hp', 'jaman', 'kamera', 'standar', 'bagus', 'bersih', 'beli', 'hp', 'masuk', 'gilaaa', 'syarat', 'ikutin', 'kamera', 'hp', 'android', 'jelek']",verifikasi muka susah akun muka sendiri susah pakai masker posisi bawah lampu terang benderang hp goyang orang goyang bilang gelap hp jaman kamera standar bagus bersih beli hp masuk gilaaa syarat ikutin kamera hp android jelek,-36,negative,-1
3,"['update', 'lanjut', 'aplikasi', 'lamaa', 'tunggu', 'kasir', 'kena', 'omell', 'mohon', 'baik']",update lanjut aplikasi lamaa tunggu kasir kena omell mohon baik,-9,negative,-1
1,"['tahap', 'verifikasi', 'vidio', 'antri', 'antri', 'habis', 'gilir', 'video', 'call', 'sambung', 'tunggu', 'sambung', 'putus', 'sambung', 'hubung', 'ulang', 'antri']",tahap verifikasi vidio antri antri habis gilir video call sambung tunggu sambung putus sambung hubung ulang antri,-14,negative,-1
3,"['aplikasi', 'bagus', 'mudah', 'lambat', 'kali', 'masuk', 'transaksi', 'belanja', 'pakai', 'qris', 'masuk', 'qris', 'lamaa', 'main']",aplikasi bagus mudah lambat kali masuk transaksi belanja pakai qris masuk qris lamaa main,-5,negative,-1
4,"['oke', 'oke', 'pakai', 'mudah', 'koreksi', 'aplikasi', 'lambat', 'berat', 'banget', 'pakai', 'samsung', 'kadang', 'aplikasi', 'ngebug', 'kali', 'ringanin', 'biar', 'berat']",oke oke pakai mudah koreksi aplikasi lambat berat banget pakai samsung kadang aplikasi ngebug kali ringanin biar berat,2,positive,1
4,"['app', 'blu', 'sebenernya', 'bagus', 'top', 'emoney', 'shopee', 'pay', 'enak', 'top', 'emoney', 'blu', 'pilih', 'ovo', 'gopay', 'linkaja', 'dana', 'update', 'shopee', 'pay', 'masuk', 'variatif', 'hilang']",app blu sebenernya bagus top emoney shopee pay enak top emoney blu pilih ovo gopay linkaja dana update shopee pay masuk variatif hilang,7,positive,1
5,"['aplikasi', 'bagus', 'bayar', 'kdg', 'delay', 'detik', 'ttp', 'guna', 'utama', 'dr', 'rekening', 'rekening', 'bca', 'mobile']",aplikasi bagus bayar kdg delay detik ttp guna utama dr rekening rekening bca mobile,-10,negative,-1
5,"['aplikasi', 'bagus', 'mudah', 'menu', 'lengkap', 'aplikasi', 'jalan', 'berat', 'loading', 'saran', 'mohon', 'aplikasi', 'animasi', 'biar', 'jalan', 'ringan', 'cepat']",aplikasi bagus mudah menu lengkap aplikasi jalan berat loading saran mohon aplikasi animasi biar jalan ringan cepat,-14,negative,-1
5,"['apk', 'berat', 'hp', 'ram', 'sinyal', 'bagus', 'pas', 'butuh', 'transaksi', 'cepat', 'fitur', 'lengkap', 'masuk', 'admin', 'baik', 'loading', 'bca', 'apk', 'sat', 'set', 'tambah', 'barcode', 'bayar', 'qris', 'terimakasih']",apk berat hp ram sinyal bagus pas butuh transaksi cepat fitur lengkap masuk admin baik loading bca apk sat set tambah barcode bayar qris terimakasih,4,positive,1
1,"['lucu', 'syarat', 'menuhin', 'bludebit', 'card', 'lihat', 'syarat', 'minimal', 'saldo', 'ktransaksi', 'minimal', 'x', 'bulan', 'pas', 'penuh', 'syarat', 'minimal', 'loyalty', 'lever', 'blugrande', 'minimal', 'saldo', 'jt', 'saldo', 'segitu', 'nyimpen', 'bank', 'rekomen', 'seabank', 'bunga', 'cair']",lucu syarat menuhin bludebit card lihat syarat minimal saldo ktransaksi minimal x bulan pas penuh syarat minimal loyalty lever blugrande minimal saldo jt saldo segitu nyimpen bank rekomen seabank bunga cair,-6,negative,-1
1,"['donlod', 'ribet', 'aktipkan', 'screenlockdah', 'kali', 'coba', 'bisapadahal', 'bikin', 'aplikasi', 'ribet', 'pin']",donlod ribet aktipkan screenlockdah kali coba bisapadahal bikin aplikasi ribet pin,-11,negative,-1
1,"['selfie', 'ulang', 'kali', 'kalimat', 'hp', 'goyang', 'pakai', 'tripod', 'bilang', 'goyang', 'ken', 'ambil', 'data', 'doang', 'akhh', 'siall', 'kali', 'kasih', 'ulas', 'hidup', 'taiiiii', 'buang', 'data']",selfie ulang kali kalimat hp goyang pakai tripod bilang goyang ken ambil data doang akhh siall kali kasih ulas hidup taiiiii buang data,-23,negative,-1
4,"['kasih', 'bintang', 'biar', 'cepat', 'tanggap', 'kasih', 'deh', 'keluh', 'app', 'berat', 'bayar', 'pakai', 'qris', 'bayar', 'indihome', 'edit', 'bayar', 'pakai', 'qris', 'icon', 'tengah', 'besar', 'app', 'perban', 'bayar', 'indihome', 'tetep']",kasih bintang biar cepat tanggap kasih deh keluh app berat bayar pakai qris bayar indihome edit bayar pakai qris icon tengah besar app perban bayar indihome tetep,-4,negative,-1
5,"['user', 'blu', 'nyaman', 'walo', 'kendala', 'lambat', 'load', 'aplikasi', 'gratis', 'tarik', 'tunai', 'pakai', 'blu', 'moga', 'aman', 'percaya', 'org', 'safety']",user blu nyaman walo kendala lambat load aplikasi gratis tarik tunai pakai blu moga aman percaya org safety,13,positive,1
1,"['suka', 'bank', 'bca', 'engga', 'app', 'lelet', 'ampun', 'kalah', 'jaring', 'hp', 'nokia', 'jaman', 'kecepatanya', 'harap', 'baik', 'sempurna', 'bca', 'kurang', 'app', 'terimakasih', 'moga', 'bangun', 'tidur']",suka bank bca engga app lelet ampun kalah jaring hp nokia jaman kecepatanya harap baik sempurna bca kurang app terimakasih moga bangun tidur,2,positive,1
1,"['daftar', 'rekening', 'via', 'videocall', 'sulit', 'alas', 'nama', 'ktp', 'kakak', 'huruf', 'double', 'nama', 'ucap', 'beda', 'mm', 'kakak', 'ktp', 'sulit', 'ampun', 'nomer', 'nik', 'daftar', 'bank', 'teloransi', 'huruf', 'double', 'bca', 'kaku']",daftar rekening via videocall sulit alas nama ktp kakak huruf double nama ucap beda mm kakak ktp sulit ampun nomer nik daftar bank teloransi huruf double bca kaku,-10,negative,-1
5,"['bagus', 'user', 'interface', 'modern', 'tampil', 'simple', 'bingung', 'admin', 'bulan', 'nilai', 'plus', 'moga', 'depan', 'fitur', 'bayar', 'nfc', 'nirsentuh', 'kompetitor']",bagus user interface modern tampil simple bingung admin bulan nilai plus moga depan fitur bayar nfc nirsentuh kompetitor,7,positive,1
4,"['tolong', 'registrasi', 'hasil', 'video', 'call', 'tim', 'blu', 'perkara', 'nama', 'kandung', 'jelasjelas', 'baca', 'baikbaik', 'tolong', 'sulit', 'tolong', 'depan', 'tuh']",tolong registrasi hasil video call tim blu perkara nama kandung jelasjelas baca baikbaik tolong sulit tolong depan tuh,0,neutral,0
4,"['baik', 'kendala', 'apa', 'update', 'transaksi', 'sambung', 'putus', 'sinyal', 'lancar', 'mohon', 'baik', 'kak']",baik kendala apa update transaksi sambung putus sinyal lancar mohon baik kak,2,positive,1
1,"['banget', 'optimalisasi', 'layan', 'aplikasi', 'sebentar', 'sebentar', 'update', 'update', 'klu', 'gx', 'lelet', 'lelet', 'tarik', 'tunai', 'atm', 'bca', 'kena', 'biaya', 'transfer', 'bca', 'kadang', 'kena', 'biaya', 'mybca', 'mbca']",banget optimalisasi layan aplikasi sebentar sebentar update update klu gx lelet lelet tarik tunai atm bca kena biaya transfer bca kadang kena biaya mybca mbca,-5,negative,-1
2,"['kesini', 'ngelag', 'berat', 'aplikasi', 'pakai', 'blu', 'kendala', 'pas', 'buka', 'aplikasi', 'berat', 'banget', 'buka', 'aplikasi', 'gede', 'lancar']",kesini ngelag berat aplikasi pakai blu kendala pas buka aplikasi berat banget buka aplikasi gede lancar,-6,negative,-1
3,"['tampil', 'home', 'simple', 'qris', 'transfer', 'klik', 'saldo', 'portofolio', 'tampil', 'home', 'minimal', 'pindah', 'tab', 'simple']",tampil home simple qris transfer klik saldo portofolio tampil home minimal pindah tab simple,1,positive,1
1,"['lambat', 'error', 'transfer', 'status', 'hasil', 'saldo', 'potong', 'masuk', 'rekening', 'terima', 'ganggu', 'rugi']",lambat error transfer status hasil saldo potong masuk rekening terima ganggu rugi,-11,negative,-1
1,"['ngasi', 'pinjam', 'nawarin', 'pinjam', 'nyoba', 'x', 'ngajuin', 'pinjam', 'minimum', 'tolak', 'lelet', 'banget', 'aplikasi', 'tolong', 'hapus', 'menu', 'pinjam', 'hapus', 'aplikasi', 'blu']",ngasi pinjam nawarin pinjam nyoba x ngajuin pinjam minimum tolak lelet banget aplikasi tolong hapus menu pinjam hapus aplikasi blu,-16,negative,-1
3,"['halo', 'mohon', 'tingkat', 'performa', 'aplikasi', 'androidnya', 'bayar', 'kasir', 'lelet', 'buffering', 'scan', 'responsif', 'kadang', 'pas', 'pasin', 'banget', 'scan', 'suka', 'fitur', 'aplikasi', 'pocket', 'kini', 'transfer', 'mudah', 'ribet', 'save', 'bca', 'top', 'free', 'admin', 'kadang', 'cashback']",halo mohon tingkat performa aplikasi androidnya bayar kasir lelet buffering scan responsif kadang pas pasin banget scan suka fitur aplikasi pocket kini transfer mudah ribet save bca top free admin kadang cashback,14,positive,1
3,"['lambat', 'aplikasi', 'satset', 'ribet', 'banyak', 'loading', 'hadeh', 'ribet', 'deh', 'inti', 'canggih', 'cepat', 'apa', 'jaring', 'tetep', 'lambat', 'lambat']",lambat aplikasi satset ribet banyak loading hadeh ribet deh inti canggih cepat apa jaring tetep lambat lambat,-13,negative,-1
3,"['ribet', 'banget', 'login', 'kunci', 'layar', 'hp', 'mybca', 'nggk', 'hp', 'nggk', 'sandi', 'ganggu', 'atur', 'sandi', 'melulu', 'tolong', 'hilang', 'fitur', 'ganggu']",ribet banget login kunci layar hp mybca nggk hp nggk sandi ganggu atur sandi melulu tolong hilang fitur ganggu,-11,negative,-1
1,"['suka', 'fitue', 'apk', 'baca', 'silah', 'coba', 'kirain', 'sinyal', 'lain', 'tolong', 'baik', 'bca', 'blu', 'cari', 'jalan', 'kluar', 'biar', 'baca', 'bgtu', 'fitur', 'pinjam']",suka fitue apk baca silah coba kirain sinyal lain tolong baik bca blu cari jalan kluar biar baca bgtu fitur pinjam,4,positive,1
